"id_schedule_block",Session Title,Date,Start Time,End Time,Description,Location,Track Title,UID
16630,"Werewolves of the Dark Ages",08/11/2016,19:00,01:00,"Werewolf (the genre) is a social game ideally played by large groups of people. It is originally based on a game known as Mafia. In this game, the Villagers must discover the identity of the Werewolves before they are all killed. Every night, the Werewolves form a hunting pack to kill a single unlucky victim. When the sun rises, the hysterical Villagers pick someone to lynch. During the daytime phase of the game, the Werewolves pretend to be Villagers, or can even pretend to be the Seer, the one special Villager who can identify the Werewolves at night. Players are allowed to and encouraged to bluff, lie, and misdirect in order to win the game.  If the Villagers lynch all of the Werewolves, they win the game. If the number of Werewolves becomes equal to or greater than the number of all other remaining villagers, the Werewolves overpower them and win the game.  This is a custom version that includes a wide range of special roles beyond just the Seer. There are over 30 different roles to pick from. The suggested minimum number of players is 10, including the Town Mayor (GM), but it can go up to 30 people in one game.","G1","",
18358,"Registration",08/11/2016,19:00,22:00,"AnimeFest Member Registration","RG","",
17311,"Favor of the Pharaoh Demo",08/12/2016,09:00,10:00,"In Favor of the Pharaoh, players roll dice to advance in Egyptian society, each turn gaining a new contact and more influence. These contacts give players more dice to roll or special powers to adjust those dice. The game culminates in a tense final roll-off as players vie for the Pharaoh's favor.","BG1","",
16524,"Pathfinder Society Intro - Silverhex Chronicles",08/12/2016,09:00,14:00,"When the daring half-orc scholar Ulisha enrages a noble family in the River Kingdoms, she contacts the PCs with a special deal: she will sell them a unique and ancient druidic relic at a steep discount to secure the gold she needs to pay off her bounty. By the time the PCs arrive to meet her, she has gone into hiding. However, she has left behind a journal full of profitable leads as a sign of good faith. Can the PCs recover this hidden wealth and claim the powerful Silverhex before an assassin finds their friend? (Level 1)","G6A","",
16525,"Pathfinder Society 7-22: Bid for Alabastrine",08/12/2016,09:00,14:00,"Decades ago, the merchant nation of Druma anticipated a wave of migrants and built the city Alabastrine to accommodate them. The mass migration never happened. Always seeking a return on investment, Druma recently began auctioning off control of the city to the highest bidders and wealthiest entrepreneurs for five years at a time. The next auction begins soon, and the powerful Aspis Consortium gold agent Myrosype—an enemy of the Society responsible for countless Pathfinders’ deaths—is poised to take control of the whole city for her own nefarious ends. The Society has secured a few invitations for the PCs to attend the auction. Can they disrupt the event’s delicate politics in order to stop their rival, or will the Aspis Consortium gain an unassailable stronghold? (Level 1-5)","G6B","",
16526,"Pathfinder Society 7-27: Beyond Azlant Ridge",08/12/2016,09:00,14:00,"Six years ago, the Pathfinder Society narrowly avoided disaster at an archeological excavation in the Terwa Uplands. The expedition recovered and resumed its work, and at long last they have learned what the ancient culture had hoped to guard. That’s when all correspondence ended. Fearing the excavation may be besieged once more, the Society has sent the PCs to save who they can, salvage what they must, and uncover a secret that has lain buried outside Bloodcove for millennia. (Level 3-7)","G6C","",
16527,"Pathfinder Society 7-17: Thralls of the Shattered God",08/12/2016,09:00,14:00,"After two years of blood and bravery, the Fifth Mendevian Crusade has struck a terrible blow to the Worldwound’s demons and reclaimed lost territory. The Pathfinder Society, as one of the crusade’s partners in this endeavor, has earned the right to explore and salvage what it can of the lost Sarkorian sites under Mendev’s control, and it has identified one ruin as a priority. In fact, the site seems to actively call to one agent in particular, a scarred survivor of abyssal experiments. Venture-Captain Jorsal of Lauterbury has asked the PCs to accompany this agent into the wasteland, where perhaps she might learn how to control her demonic half—or purge it completely. (Level 5-9)","G6D","",
16528,"Pathfinder Society 2-26: The Mantis's Prey",08/12/2016,09:00,14:00,"The Red Mantis have a contract to assassinate Grandmaster Torch, and the famed Absalom information broker calls in a favor from the Society to prevent his untimely demise. You must locate the Red Mantis assassins sent to kill him and eliminate the threat before they strike. (Level 7-11)","G6E","",
16529,"Pathfinder Society : We Be Goblins!",08/12/2016,09:00,14:00,"The Licktoad goblins of Brinestump Marsh have stumbled upon a great treasure—fireworks! Yet unfortunately for them, the tribe member responsible for the discovery has already been exiled for the abhorrent crime of writing (which every goblin knows steals words from your head). To remedy this situation, the Licktoads’ leader, His Mighty Girthness Chief Rendwattle Gutwad, has declared that the greatest heroes of the tribe must venture forth to retrieve the rest of the fireworks from a derelict ship stranded in the marsh. In order to prove themselves as the Licktoads’ bravest goblins, the PCs must complete a series of dangerous dares, from swallowing bull slugs and braving the dreaded Earbiter to dancing with Squealy Nord himself. Yet even once they’ve proven their mettle, the adventure is just beginning. For the ship in question is far from uninhabited, and Vorka the cannibal goblin would like nothing better than a few tasty visitors.... (Pregen level 1)","G6F","",
16530,"Pathfinder Adventure Card Game : Season of the Goblin",08/12/2016,09:00,14:00,"An adaptation of the Free RPG Day adventures We Be Goblins! & We Be Goblins Too!. Birds will be crunched, toads will be licked, & many, many things will be exploded.","G6J","",
